wave,bestfit,median,+1 sigma,-1 sigma,+2 sigma,-2 sigma,+3 sigma,-3 sigma
0.725,6363.962995300835,6407.793070653857,6713.831959458652,6096.531540997499,6982.747200347834,5706.942585880064,7146.834913287255,5280.816317140429
0.903087992966175,6894.359104450982,6962.050075394734,7054.920106397962,6866.384644615267,7149.131880219815,6761.10998815451,7232.194110193951,6663.395334538691
0.9755089566111564,6939.349988099228,6987.518756338184,7040.552615455859,6927.333062783869,7090.7433630136975,6857.341059864076,7128.55690553987,6798.976387685338
1.0491487056016922,6955.650253342696,6977.095097943751,7034.294782609309,6909.806149966034,7083.620231072022,6839.816441611539,7123.698807237063,6764.31944712846
1.123837512731552,7048.60979726412,7074.497199435484,7104.272814658996,7043.659372895064,7135.0841120572395,7012.597923341331,7160.638715590942,6985.11417249031
1.199417166411877,6996.644013807475,7067.539498577393,7096.4663857880405,7033.748833349158,7123.9317718447055,6986.916452764764,7148.406071701265,6934.649583653621
1.2757448069751265,6974.960601775597,7061.480210305912,7096.163644869371,7021.0583762256965,7128.20819006466,6966.890388064992,7156.334703186163,6910.741698805258
1.3526866011321546,7152.544271880899,7078.002331403122,7129.389886381872,7042.211606484223,7192.847141953068,7009.016441624741,7236.453384117813,6985.831273324409
1.430124817788601,7168.773154544305,7084.735754965027,7149.891948310332,7039.467943940262,7231.906992174775,7000.590206545009,7291.480003994111,6967.120607490047
1.5079521045088768,7101.915682037743,7094.073499506179,7132.217151330615,7059.903772147141,7174.414282560592,7029.553176987062,7205.871958941446,7001.751630605408
1.586077018082142,7046.584965458071,7090.542837902177,7128.82230866825,7055.22937325931,7169.0700274660285,7019.563569746593,7207.281762648393,6985.303921411118
1.6644191026687625,7045.9748210094285,7080.411756165498,7123.997603446865,7037.775185541306,7166.950703285457,6991.642945687895,7207.05264322879,6948.1138103012545
1.7429098553955555,7110.774532238094,7081.119368826464,7110.899612376063,7052.34658145104,7142.509167758801,7024.175677279354,7175.028939882276,6998.65614587502
1.8214952252805232,7157.364636341227,7071.733019549766,7116.808558463852,7035.319911484703,7180.680153246108,7000.324628839687,7236.915726948197,6967.381573502597
1.900133700668812,7139.342170341878,7079.321600052326,7120.160477069585,7044.463058568469,7167.675304108308,7012.5022884753835,7212.008970999511,6982.087873637395
1.9787969887256625,7134.695898858887,7073.114900196501,7115.856687987422,7034.387026277295,7163.473582334294,6995.803546972653,7209.92810454293,6960.008910625471
2.057467684149742,7071.00297857675,7076.453105534201,7113.942454676312,7045.6126864410335,7162.112176590172,7016.250130770024,7206.0176045324315,6989.604876945645
2.136143946647644,7097.640957743607,7091.60868528114,7141.7553197529005,7046.972299913878,7195.889033482776,6998.130263640417,7238.054140597583,6957.847451283405
2.214835578203201,7123.935425374989,7095.213288973027,7146.32580086345,7046.731565588241,7197.50717541692,6994.118282414369,7236.025884232675,6948.303573377123
2.293564321100712,7164.832547142021,7093.004226599324,7142.899360226357,7045.060960878134,7198.961252303422,6995.796336529385,7251.792194194549,6950.189770038503
2.372367738187313,7145.643699299106,7087.311273297047,7136.3592808594485,7041.620057155289,7190.0480079641175,6993.943049402475,7232.317411652414,6953.174877770578
2.4512916028499605,7119.513815569117,7078.165234603989,7132.0724225327285,7027.307341485271,7193.554418879074,6971.74505140857,7248.782494955012,6921.190146691786
2.530399835109711,7106.968827102023,7085.4218829293195,7158.511781216584,7023.116115721146,7246.031530645595,6954.1061741725525,7336.289591021631,6891.870839618467
2.6097642689943314,7107.052849324242,7077.322624950343,7138.723194027866,7023.752636188393,7206.404482643906,6965.943487847825,7279.412494783906,6912.383714067152
2.689472849667072,7110.3522223279615,7076.459283952825,7141.545869123964,7018.4413912274695,7211.644124591889,6953.242443830352,7278.081769595945,6892.292281515945
2.76962635666132,7079.708429185591,7062.209065273746,7125.682897389663,7002.62579765573,7194.948948241086,6934.996286761819,7258.48025493249,6873.929230397402
